Region,Theta (θ),Intercept,Intercept Z,Gizi Kurang Koef,Gizi Kurang Z,Persentase Bayi dengan IMD Koef,Persentase Bayi dengan IMD Z,Rokok Perkapita Koef,Rokok Perkapita Z,Kepadatan Penduduk Koef,Kepadatan Penduduk Z,Air Minum Layak Koef,Air Minum Layak Z,Sanitasi Layak Koef,Sanitasi Layak Z
Kota Tangerang,1.85887926193761,6.02685686008088,28156.7407473021,0.000187028615078407,1.91882959441177,-0.00430598021705826,-0.358771870175188,0.0785783187248601,1.80876879011045,0.000098350040569727,2.65018994069743,0.00255492542306896,0.140893066037183,-0.00127192816844758,-0.0957212457754902
Kota Cilegon,1.85887055567878,6.02685418078069,26898.9386510637,0.000186328655818577,1.86918613224583,-0.00431400880647075,-0.346525678471256,0.0776284043991704,1.73628086646091,0.0000983155976886744,2.5799314624721,0.00273973658546449,0.145288401820748,-0.00126968747210422,-0.0923371243868896
Kota Tangerang Selatan,1.85888155444494,6.02685756649464,28419.9839163663,0.000187134843521566,1.92819036702801,-0.00429594071460398,-0.360735688685506,0.0788105602077865,1.82423565722289,0.0000983304322217996,2.66304063635971,0.0025140829863137,0.139765585923156,-0.0012823940877767,-0.0971788194382633
Kota Serang,1.8588723496739,6.02685482351897,27164.370976271,0.000186411634965124,1.88011945382082,-0.00430539956219848,-0.34870484790001,0.0778315613940821,1.75220960526639,0.0000983099222863691,2.59567247773106,0.00270248176415303,0.144548162706841,-0.00127720073498102,-0.0935927268907901
Tangerang,1.85887694443156,6.0268562862555,27818.9293895804,0.000186735250551214,1.90600956429831,-0.00429649503773514,-0.354775977823016,0.0783330905036912,1.79032962847039,0.0000983164986670637,2.63241473328496,0.00260710166986773,0.142333307126094,-0.00128375808383466,-0.0957772684673862
Lebak,1.85887673138382,6.02685649189458,27624.8262797612,0.000186404781297169,1.8957657846855,-0.00426213830672176,-0.350395118371914,0.0783029747726477,1.78092529576736,0.0000982289672782688,2.61823959773688,0.00262655871336025,0.142581015897011,-0.00132133462332165,-0.0980607043627621
Pandeglang,1.8588730813269,6.02685519941318,27200.3855507066,0.000186299830821537,1.88064505838334,-0.00428557642884231,-0.347738775862658,0.0779093684468361,1.75538405310065,0.000098266672465382,2.59658927973568,0.00269439495967152,0.144316004041353,-0.00129776103732024,-0.0952068578721206
Serang,1.85887439213855,6.02685546600221,27475.9098600536,0.00018658335540554,1.89276663890977,-0.00430442328241087,-0.351824496580026,0.0780588225195686,1.7702205339832,0.0000983221016598148,2.61369607693783,0.00265788845440095,0.14355924451799,-0.00127667741759959,-0.0943631558568223
Kota Adm. Jakarta Pusat,1.85888231463723,6.02685763732038,28542.148304914,0.000187337464250204,1.93241181964155,-0.00430982437424027,-0.362818023171487,0.078889720567542,1.82993085244513,0.0000983679050604016,2.66865375341031,0.00249209887388596,0.138997877158592,-0.00126608601206805,-0.0962052194675791
Kota Adm. Jakarta Utara,1.85888259730774,6.02685766662483,28581.8604363521,0.000187407931682507,1.93362463640893,-0.00431439709044824,-0.363484742095952,0.0789188573408048,1.83172015486192,0.0000983802972482665,2.67023460960411,0.00248417331586042,0.138698907485002,-0.00126063517675305,-0.09587093035751
Kota Adm. Jakarta Barat,1.85888125525669,6.02685736407035,28414.2595658216,0.000187240098910838,1.92799561252581,-0.00430953580495693,-0.361543201013549,0.0787830656685704,1.82286926989321,0.0000983649744260661,2.66270001546352,0.00251313015463041,0.139643866535783,-0.00126688619432479,-0.0959596888160081
Kota Adm. Jakarta Selatan,1.8588827789372,6.02685784585146,28578.5093566357,0.000187285382191411,1.93375444053804,-0.00430031169155771,-0.362579142236727,0.0789341717008226,1.83271704751365,0.00009834384638825,2.67052018080564,0.00248798026618602,0.13895086451002,-0.00127696275255307,-0.0971439674161807
Kota Adm. Jakarta Timur,1.85888372997796,6.02685803783037,28700.0231504162,0.00018742208764009,1.93783179619016,-0.00430560933138759,-0.364102649928789,0.0790294243526297,1.838990962422,0.0000983587895703288,2.67591493300082,0.0024668648534197,0.13824492739624,-0.00127048695582358,-0.0969286496849565
Adm. Kep. Seribu,1.85887375528472,6.02685487697777,27440.4721371487,0.000186983869355075,1.88953667119811,-0.0043538084000293,-0.35438146461901,0.0779992130429296,1.76412980392478,0.0000984400912600408,2.60895304836508,0.00264954109775262,0.142738507900627,-0.00122297051648433,-0.0901530419846452
Bandung,1.85890904546851,6.0268641916981,30636.8348183516,0.000188896275585929,1.98440230323958,-0.00423302084062059,-0.377474363679904,0.0812476726061078,1.94508109779028,0.0000980024909396684,2.72392760348878,0.00209598515224425,0.12415424686919,-0.00137530340390859,-0.109579773831401
Bandung Barat,1.85890346913904,6.02686296882593,30336.8300589835,0.000188572119738972,1.98116688463039,-0.00424843527082693,-0.375856094473074,0.0807970103325489,1.92970825191273,0.0000981106618685382,2.72492603845172,0.00216634878191595,0.127275683023695,-0.00134826920162018,-0.106819075964875
Bekasi,1.85888857107254,6.02685915648248,29226.9613781949,0.000187901462302739,1.95439036699276,-0.00431002846612961,-0.369467714855585,0.0794957787104627,1.86718350619889,0.0000983688533766439,2.69713175390338,0.00237397851452481,0.13505817614424,-0.00126411575573591,-0.0976495771068136
Bogor,1.85888554194647,6.02685887858491,28768.5152435609,0.000187179344057544,1.93843795681603,-0.00426468755068555,-0.362015173030161,0.079198350628223,1.84549262211221,0.0000982510430243341,2.67668495948484,0.00245408378063347,0.137900557591867,-0.00131800507232718,-0.100767903698169
Ciamis,1.8589421803966,6.02686913618764,32096.2471044639,0.000192012506056227,1.98805862064003,-0.00422395128264524,-0.390184648755397,0.0836344551776135,2.00476762238806,0.0000972803440744725,2.67070317748914,0.0017083582317442,0.10513050683963,-0.0014650972959267,-0.119424895281286
Cianjur,1.85889454505226,6.02686117940171,29582.3696479168,0.000187760774621854,1.96153171311391,-0.00424546669774094,-0.368482220779998,0.0800300775947003,1.89061750294226,0.0000981704094651924,2.70488380500064,0.00230807755574136,0.132787485199673,-0.00134441247724871,-0.104768986560279
Cirebon,1.85893931592118,6.02686705982803,32345.6774769019,0.000193039374526292,2.00055441651977,-0.00431041193023739,-0.398154304772667,0.0834493781726696,2.00834191232078,0.0000976542506174359,2.68593666965923,0.00165177153911773,0.102094284894542,-0.00132146296589301,-0.108155629855594
Garut,1.85892201750022,6.02686655894342,31261.5132792235,0.000189891526999288,1.98817227319925,-0.0042168757776901,-0.381942402895181,0.0822360057534094,1.97394810097722,0.0000977470652096321,2.71181779168579,0.00193819435246113,0.116724804521131,-0.00142065504091751,-0.114403247867691
Indramayu,1.8589222099864,6.02686448539593,31575.41793832,0.000191601632921837,1.99442744835113,-0.00434251827649756,-0.392690566451689,0.0822625407412019,1.97460147579685,0.0000981406187940458,2.71206447715508,0.00182845710064362,0.110619663319383,-0.00123889226168567,-0.100016686427639
Karawang,1.85889281125108,6.02686013342907,29631.3482751786,0.000188249255634984,1.9661044152877,-0.00430654682174876,-0.373108699956277,0.079885452644729,1.88894854640647,0.0000983479622013466,2.71114952526489,0.00230086596963081,0.132414269999886,-0.0012683174141275,-0.0988933683581425
Kota Bandung,1.85890765787459,6.02686379445022,30612.8618754625,0.000188902074857215,1.98621322502268,-0.00424446119189616,-0.378133303366511,0.0811383618474704,1.94359256620184,0.0000980538401634681,2.72764915137547,0.00210771719931445,0.124765620332418,-0.00135829708275005,-0.108210019706454
