No,NAMOBJ,Penemuan,JumlahBalita,NTL,AOD,PM10,CO,SO2,NO2,NDVI,NDWI,CurahHujanSum,Kemiskinan,Kepadatan,Sanitasi,AirMinum,GiziKurang,IMD,PuskesJml,RasioPuskesmas,RokokPerkapita,VitA,VitA_P,Latitude,Longitude,LatitudeOSM,LongitudeOSM,Imunisasi_P,BBLR_P,RLSPr,AirMinumLayak,Variabel Signifikan
57,Blora,518,89008,0.973553813662205,0.165853260264207,21.4183838477132,0.0313627245088965,0.000125,0.000058,0.495662118585883,-0.476908125139143,1741.17759234584,11.49,461,90.72,76.72,2974,88.2,26,29.2108574510156,15.893,33000,91.8,-6.95,111.4167,-6.9688,111.4175,95.9,8.1,6.82,93.54,X1
58,Rembang,465,65362,1.42075056236678,0.170610023416754,21.9317337271361,0.0317742173058388,0.000106,0.000062,0.477872230543252,-0.463904045067914,1533.10750757855,14.17,636,95.44,98.34,2758,80.8,17,26.0089960527524,15.833,34452,100,-6.7112,111.3453,-6.7112,111.3453,101.1,5.6,7.24,95.34,X1
59,Pati,4586,134787,1.96552630243508,0.190150703885835,24.0405639633593,0.0314273147683457,0.000106,0.000061,0.423789452540111,-0.421318094484834,1703.66393395344,9.31,864,95.8,73.17,3948,91.24,29,21.5154280457314,15.475,74040,98.8,-6.7513,111.038,-6.7513,111.038,86.8,3.8,7.5,95.92,X1
60,Kudus,1931,86030,3.98218990335158,0.191815163833456,24.2201924809066,0.0320069744772247,0.000093,0.000062,0.476325315718576,-0.465812009734488,1905.68011808305,7.24,1955,92.12,77.01,1915,61.53,19,22.0853190747414,14.014,91976,103.1,-6.8041,110.8382,-6.8041,110.8382,102.5,4.6,8.87,94.62,X1
61,Jepara,1480,119681,2.21401152055915,0.188548303229337,23.8676328845101,0.031926131843311,0.000138,0.000073,0.567372645276256,-0.539497087732908,2010.99800491301,6.61,1196,70.49,100,4157,100,22,18.3821993465964,15.753,49169,95.8,-6.5596,110.6717,-6.5596,110.6717,92.5,2.1,7.86,83.79,X1
62,Demak,3827,123383,2.37288118245939,0.204508364913697,25.5900427414862,0.0333341906981632,0.000096,0.000063,0.321050620056449,-0.337373203164303,1945.82873330136,12.01,1269,93.6,89.95,3639,98.13,27,21.8830795166271,16.981,17804,82.8,-6.8881,110.6393,-6.8881,110.6393,107.3,2.7,7.78,92.26,X1
63,Semarang,1173,107693,1.91512624113114,0.158643830214383,20.6403421567362,0.029643113851255,0.00009,0.00006,0.590931529703125,-0.532633998590773,2245.3732627648,7.17,1060,85.5,100,2356,94.82,26,24.1427019397733,12.869,43305,92.1,-6.9667,110.4167,-7.2223,110.4102,87.2,6.6,7.83,95.84,X1
64,Temanggung,1164,80495,1.09323288166003,0.128433333333333,17.3800253333333,0.0282067525561593,0.000087,0.000055,0.651047679995916,-0.551155329951706,2412.41827776162,9.26,935,69.89,82.95,1739,97.59,26,32.3001428660165,5.274,31691,81.5,-7.3167,110.1748,-7.3167,110.1748,92.1,5.3,7.46,97.8,Tidak Ada Variabel yang Signifikan
65,Kendal,580,104151,1.70478533477948,0.200466148944643,25.1538067941059,0.0327786335901935,0.00009,0.000067,0.531337827228512,-0.482340424065299,2200.88360273603,9.39,1044,78.33,100,3935,77,30,28.8043321715586,10.705,46563,92.7,-6.9197,110.2056,-6.9197,110.2056,95.1,6.1,7.34,96.78,Tidak Ada Variabel yang Signifikan
66,Batang,155,82042,1.7843389836164,0.200287336024217,25.1345093037335,0.0316225269769513,0.000059,0.000066,0.626789625860917,-0.486265249017783,2038.75140166405,8.92,967,61.7,74.69,2678,91.92,21,25.5966456205358,13.469,45530,96.1,-6.8941,109.7235,-6.8941,109.7235,105.3,3.8,6.77,96.79,X4
67,Pekalongan,395,99625,1.67821209203855,0.168291387024608,21.6815064876957,0.0304484558008681,0.000092,0.000062,0.62184849059926,-0.49846913533336,2422.80053347616,9.67,1128,83.47,75.38,3501,97.75,27,27.1016311166876,12.682,41142,95.1,-6.8829,109.67,-7.0886,109.6422,75.1,5.9,7.15,95.65,X4
68,Pemalang,752,151709,1.5228050009517,0.190101154401154,24.0352165829725,0.0308879925492831,0.000103,0.000056,0.52903467753604,-0.47545111729561,2396.28954097604,15.03,1340,80.73,75.98,3711,86.05,25,16.4789168737517,15.548,70872,98.5,-6.8842,109.378,-6.8842,109.378,88.2,3.9,6.2,97.68,"X3, X4"
69,Tegal,4282,163829,3.00028269060825,0.196694923632892,24.7468161584617,0.0315697682474228,0.000098,0.000058,0.48918022598473,-0.443051611740514,2241.58734602546,7.3,1682,85.87,58.57,5103,92.79,29,17.701383759896,13.212,85504,97,-6.8667,109.1333,-6.8667,109.1333,98.5,4.7,6.88,98.17,"X1, X3, X4"
70,Brebes,4423,202818,1.74412600786784,0.186112103769436,23.6047182387975,0.0310045062747828,0.000112,0.000055,0.493182639695039,-0.444547326324238,2207.95281393924,15.78,1172,82.8,100,5343,85.14,38,18.7360096243923,19.505,37784,82.8,-6.8833,109.05,-6.8833,109.05,94.7,5.1,5.9,88.78,"X1, X3, X4"
71,Kota Magelang,283,12171,8.39482236999908,0.1965,24.72578,0.0308053570712437,0.000126,0.000061,0.382737259593099,-0.378768895265224,2065.1018340771,6.11,6581,84.93,100,247,64.97,5,41.0812587297675,10.345,4160,90.5,-7.4813,110.2138,-7.4709,110.2198,77.6,2.6,11.06,100,Tidak Ada Variabel yang Signifikan
72,Kota Surakarta,452,52315,22.0815533904896,0.1934,24.391228,0.0328479315041741,0.000109,0.000068,0.248843503351336,-0.280392497201544,1992.30221801506,8.44,11277,89.97,100,1020,99.96,17,32.4954601930613,7.594,21447,100,-7.5667,110.8167,-7.5667,110.8167,73.9,3.1,10.81,99.16,X1
73,Kota Salatiga,208,19657,6.79378618790895,0.1515,19.86938,0.0290966679001013,0.000084,0.000062,0.526173744330089,-0.492768330010188,2277.85542043553,4.66,3618,98.15,100,360,85,6,30.5234776415526,11.292,8902,100,-7.3023,110.4729,-7.3023,110.4729,100.5,1,10.94,98.71,X1
74,Kota Semarang,2715,166296,10.4717290995486,0.205641660348749,25.712347984837,0.0335348213719283,0.000072,0.000079,0.420277754167136,-0.402959900046409,1933.67196329223,4.23,4580,95.31,100,1423,94.82,38,22.8508202241786,9.967,73439,99.9,-6.9667,110.4167,-6.9667,110.4167,93.8,2.8,10.47,99.88,Tidak Ada Variabel yang Signifikan
75,Kota Pekalongan,312,31110,7.69872268207472,0.274083333333333,33.0985733333333,0.0352155132664572,0.00007,0.00006,0.250039309171824,-0.260881356975641,1714.64318825142,6.81,6873,90.69,100,1174,95.25,14,45.0016072002572,9.831,15958,100,-6.8829,109.67,-6.8829,109.67,97.6,6.5,9.21,98.88,X4
76,Kota Tegal,547,28077,14.0708817458384,0.2245,27.74754,0.0340521816523445,0.000097,0.00006,0.240950683666283,-0.255777520352226,1314.01475587183,7.68,7238,94.12,100,872,94.29,8,28.4930726217189,11.453,9803,97.7,-6.8667,109.1333,-6.8692,109.1413,100.3,6,8.83,100,"X1, X3, X4"
77,Kulon Progo,482,22618,1.54145180936664,0.146973826458036,19.3809153513512,0.0305298303146121,0.000105,0.000048,0.616412950235221,-0.49212017679822,1796.87673078507,15.64,756,96.43,72.7,813,90.9,21,92.8464055177293,9.075,18946,100,-7.8267,110.1641,-7.8267,110.1641,98.9,7.8,8.9,89.61,Tidak Ada Variabel yang Signifikan
78,Bantul,1226,53330,3.86550644858985,0.161337868480725,20.9310827664398,0.0303476338392195,0.000105,0.00005,0.540779539415412,-0.46446701570481,1604.48288746799,11.95,1992,96.05,100,2302,84.6,27,50.6281642602663,11.18,45430,99.7,-7.8846,110.3341,-7.8846,110.3341,97.1,6.6,9.58,96.29,X1
79,Gunungkidul,921,36691,1.10899890329128,0.132041427143214,17.7694108172957,0.0288812321570229,0.000095,0.000047,0.579090811871497,-0.508143092483572,1545.79218180218,15.6,507,96.57,74,1277,80.2,30,81.7639203074323,11.082,29817,100,-8.0305,110.6169,-8.0305,110.6169,97.3,8.3,6.9,98.3,X1
80,Sleman,1981,50877,4.76415742812188,0.152918216805644,20.0224339576651,0.0305619042037769,0.000107,0.000056,0.532372537930552,-0.443935980035521,1892.43229405998,7.52,2013,97.42,100,2054,97.3,25,49.1381174204454,10.676,46419,100,-7.7162,110.3354,-7.7162,110.3354,97.6,7.9,10.72,97.59,X1
81,Kota Yogyakarta,563,23803,21.6075731136471,0.178666666666666,22.8012066666666,0.0312991815221935,0.000102,0.000058,0.240485514469682,-0.253540994274183,1772.15277433139,6.49,11560,92.82,86.1,545,97.7,18,75.6207200773012,8.613,10709,100,-7.7972,110.3688,-7.7972,110.3689,96.7,8,11.75,99.31,X1
82,Pacitan,275,31301,0.737516213757046,0.106076664747649,14.9672936595663,0.0277419213357111,0.000108,0.000045,0.706853248755349,-0.595436226879145,1973.5986252353,13.65,410,77.45,95.71,695,90.5,24,76.6748666176799,8.778,20220,80.6,-8.2046,111.0877,-8.2046,111.0877,89.6,6.6,7.5,80.19,X1
83,Ponorogo,1349,87807,1.25765983463386,0.156748214285714,20.4357672857143,0.0282857026739719,0.000128,0.000049,0.600126279498858,-0.534902302607369,1964.94410640097,9.53,676,89.79,98.78,2412,29.4,31,35.3047023585819,11.895,25230,63.5,-7.8678,111.466,-7.8678,111.466,89.4,5.6,7.46,94.42,X1
84,Trenggalek,1580,41769,0.863850604801226,0.103033130651699,14.6388354599314,0.0278062410044325,0.000138,0.000044,0.710164558105183,-0.532132438757305,1908.01245298845,10.63,593,81.28,67.71,1265,63.7,22,52.670640905935,9.647,31361,94,-8.05,111.7167,-8.05,111.7167,95.8,4.9,7.6,84.87,X1
85,Tulungagung,2599,71893,1.68288929277484,0.138066597653554,18.4196472187716,0.0289528016304208,0.000209,0.000046,0.592912755063341,-0.480538435883033,1787.91841668148,6.53,968,87.85,100,2862,5.6,32,44.5105921299709,11.392,50797,88.1,-8.0667,111.9,-8.0667,111.9,95.8,3.1,8.41,97.9,X1
86,Blitar,2934,78913,1.42323798918015,0.149935196745404,19.700506432764,0.0288274473248878,0.00029,0.000047,0.62601741546488,-0.520627002619596,1881.38449177189,8.69,718,82.5,85.94,2534,62.6,24,30.4132398971019,10.959,57700,91.5,-8.1014,112.1628,-8.1014,112.1628,94.1,5.9,7.69,96.41,X1
87,Kediri,1208,115716,1.99318599267342,0.181982865060703,23.1590907973511,0.0304410182080493,0.000264,0.000057,0.577273167466822,-0.524622829363875,1864.93926703645,10.72,1101,92.13,71.43,4479,75.5,37,31.9748349407169,15.017,80971,87.7,-7.8094,112.0324,-7.8094,112.0324,93.1,4.1,7.87,92,X1
88,Malang,7849,185171,1.52455127248202,0.125345330818719,17.0467681019562,0.0274799208136969,0.000455,0.000048,0.664545258303547,-0.543352878493239,1811.23895448503,9.45,782,84.03,87.69,5129,84.2,39,21.0616133195803,18.841,141917,95.8,-8.0496,112.6885,-8.0496,112.6885,95.1,4,7.45,98.18,X1
89,Lumajang,1586,67646,1.00179047937237,0.128334005376344,17.3693058602151,0.0277776294443427,0.000385,0.000046,0.679946015970561,-0.523355874076907,1790.43604172433,8.93,634,77.48,92.52,2515,82.6,25,36.9571001980901,9.404,51613,94.4,-8.137,113.2266,-8.137,113.2266,95.2,6,6.69,95.49,X1
90,Jember,2796,171685,1.42100529426718,0.137318667810177,18.3389306300743,0.0283386033963652,0.000238,0.000045,0.705957190062797,-0.541991308565178,1852.08409811195,9.51,781,64.47,78.26,8560,70,50,29.1231033578938,13.285,114656,83.1,-8.1724,113.7003,-8.1724,113.7003,89.4,6.4,6.01,97.51,X1
91,Banyuwangi,2572,106748,2.62698166941415,0.113887569518566,15.8102465024436,0.0273547911395195,0.00015,0.00004,0.683252581870992,-0.508563483457385,1681.21608407105,7.34,485,82.63,100,2309,78,45,42.1553565406378,14.647,83031,96.4,-8.2186,114.3669,-8.2186,114.3669,97.6,3.1,7.21,97.44,X1
92,Bondowoso,2698,48081,0.960681787689601,0.125400666262871,17.052739903089,0.0263285330583469,0.000203,0.000049,0.681062394909285,-0.573552181986684,1994.32518779429,13.34,507,57.41,95.96,2115,90.5,25,51.9955907739024,15.219,39619,101,-7.9177,113.8135,-7.9177,113.8135,106,8.5,5.72,94.43,X1
93,Situbondo,2156,42577,1.12234147528604,0.13528631544431,18.1195991627499,0.0284782029176466,0.000141,0.000057,0.601021217538855,-0.543597336133007,1497.59537764622,11.9,421,59.37,74.79,2181,81.1,20,46.9737182046645,18.591,33402,98.7,-7.7025,113.9556,-7.7025,113.9556,94.4,7,6.27,97.45,X1
94,Probolinggo,2684,84484,1.38383947898005,0.155635399805762,20.3156723470378,0.0283920770397611,0.00032,0.000075,0.621310256108484,-0.507487878774668,1793.38462727123,17.19,682,66.12,79.59,5465,69.4,33,39.0606505373799,11.918,64296,95.2,-7.754,113.2107,-7.754,113.2107,91.9,6.3,5.72,97.75,X1
95,Pasuruan,2893,117558,2.43694629289437,0.201632126450276,25.2796390865138,0.0296275461773662,0.000386,0.000066,0.558212862596604,-0.452713644863878,1611.95325362026,9.24,1101,86.7,60.3,7536,79.1,33,28.0712499362017,17.988,92199,98.2,-6.8623,108.8002,-8.0169,112.7978,94.3,4.7,6.94,97.63,X1
96,Sidoarjo,8835,181172,8.25888790919891,0.228123233127613,28.138559319132,0.032019459644167,0.000305,0.000075,0.314910507169704,-0.277675444621238,1649.00952535494,5,2968,94.72,48.78,4379,87.9,30,16.5588501534453,12.807,137631,94.4,-7.453,112.7173,-7.453,112.7173,101.4,1.6,10.58,97.19,X1
97,Mojokerto,2195,82591,4.25605296137393,0.241068388871266,29.535600526987,0.0309816203885617,0.000271,0.000075,0.519924661358461,-0.41040875775635,1852.41399691905,9.8,1163,89.38,100,1591,90.4,27,32.6912133283288,15.119,53938,82.1,-7.4881,112.427,-7.4881,112.427,95.1,4.7,8.6,98.9,X1
